graph,seed,n_bees,max_steps,n_chance,max_iter,flip,fitness,conflicts,colors,runtime,solution
test1.txt,42,20,15,3,50,7,3964,8,12,4.6674,"[ 8 12 11  4 10  3  5 10  9 11  7 11  5  8  5  7  3  1 10  2  8  1 10  8
  7  5  2 10  4  1 11 11  1 11 11 11  7  6  8  3  7  4  1  4  5 11  2  5
  9  3 12  8 12 12  2 11  1  9  5  7  4  1  7  2  3  8  3  7  4  2  3  5
 11 12  2 10  6  9  3 10 11  6  8 11  4  7 12  4  7  5  2  7 10 10  9 12
 12  1  4  6  9  7  6  7  7  6  4 12  5  3  1  6  2  7  3 10  2  8  7 11
 10 12 11  3  8 12  2  7  7  1  8  5  3 10 10  6  2  3]"
test1.txt,42,20,15,3,50,3,10386,21,12,4.6974,"[ 8  4  6  9  5  5  5  3 12 12 11 12  7  2 11  5  3  1  7  6  2  8  9  5
  1  5  7  4 10 11  4  2 12  3  9  8  9 12  9  5 10  1 11 11  7 11  7 11
  8 12  4  6  7 10  2 10 11  6  7  7 11 12 10  3 12  9  1 11  5 11 11  1
  5  4  7  2  6  5  1  7  6  3 11 10  1  7  3  4  2  6 12 10  4  9  9  9
  8 12  2  6  3  5  9  5 12  9  8  7  2  3  2 12  5  4 10  7 12  7  7  2
  3  2  9  7  1 10  5  2 10 10  8  8  5  1  9 11 11  3]"
test1.txt,42,50,5,5,50,5,1000,2,12,4.9250,"[ 4  6  5 10  5  4  4  3  4  2 10  2  1 10  8  3  3  6  1  2  3 12  7  8
  6  2  3 12  5  6  9 12  1 10 11  7  1  6 10 12 12  4  9  5  5  5  7 12
  9  7 11 11  2  6  2  8 11  7 12 10 11 11 12  4 12  4  3  1  1  2  1  5
  1 11  4  4  4  4  8 10  9  8 10  6 12  7 12  9  2  5 10  1  8  8  9 10
 11 12  5  2  8  7  9  6  1 10  8  1  4  3  7  8  5  8  1 12  5  5  9 10
  1  2 12  7  8  4  9  1  2 10  8  5  3  9  8  3  8 11]"
test1.txt,42,50,5,3,50,7,1000,2,12,5.0989,"[10  4  7  1  9  7  7 11  7  2  7  1  9  6  3  8  7  2  5  4  8  8  7  7
 11  3  1 12  6  8 10  3  6 11 11 11 12 12 10 12  7  4  1  3  9  5  7  1
  9 11  9  9  8 12  9 10  6 10  9  9  4 10  8  8  4  1  3  6  1  2  7  5
  8  1 12  8  4 12 10  5 12  2  4  4  7  9  9  8  9  5  9  6  8  8  5 12
  2  1 10  3 12 10  4  9  4  2  8  4  2  2  1  8  4  3  7 10  5  5  7 10
  9 10  4  9  8 12  4  1  4 11  8  5  7 11  8  6  1  3]"
test1.txt,42,50,5,5,50,3,506,1,12,4.0953,"[ 4 10 11 11  9  3 11 10  7  6  2  3  2  4  8  9  2  6  7 10  8  4  5  1
  1  3 12  8 11  6  1  6 11  3 10 10  1  1  3  7  3  4  3  1 11  8 12  5
  3  4  2  4  1  6  1  3  9  2  4  2 10  4 11 12  1  8  9  4  4  1  9  2
  4 12  2 12  7  1  3  3  5  3  1 11  5  6 12  2  4  3  7  5  7 11  5 12
  4  1  4  8 12  7 11  1  1  7 11 11  8 12  1  5  3  7  1  9  5 12  4 10
  8  6  7  6  9 11  1  8  7 11  5  5  6  7  8  2  6  3]"
test1.txt,42,50,15,5,50,7,12,0,12,6.2700,"[ 5  8 11  8  5  7  7  1 11 11  1  8  5  4  8  9  3  6  5 11  8  7  4  7
 12  5  1  7  2  7 12  9  1 11 11  4  3 12  7 11  7  9 12  2  5  5  7  5
  9  9 12  9  9  8 12 10 11  1  5  2  4 12 12  7  7  1  7  1  4 10  9  2
  8 12 11 10  5  2  5  7  9  3  1 12  7  3  7  9  9  5  2  9  3  8  9 12
 12 12  5  7  1  7  9  6  1 12  3  1  7  3  1  8  8 11  1 11  5  5  7  6
  2  7  7  4  8 12  9  5  4  7 12  5  3  6  8 10  6  3]"
test1.txt,42,50,10,1,50,7,3964,8,12,6.8241,"[ 1 12 11  4  5  1 10 10  7 11  9  6  5  2 11  5  5  8  5  2 10  6  3  2
  2 11  1 12  9  7 12  7  6 11 11  2 10 12 12  5  7  4  5  5  5  9  7  7
  9  9  1  9  9 10  2 10  7  6  5  2  4  7 12  9 11  8  9  1  9  1  8 11
  5  6  7 10 12  7  3 10  5  2 10  9  4  1 12  3  1  5  1  8 10  2  8  5
 12 12  9  3  9  1  4  9  2 12  4  5 12  5  1  9  6  7  1  7  9  2  7  7
  1  7 10  4  8 12  6  1  7  7  2  5  3 10 12  4  5  3]"
test1.txt,42,50,15,3,50,5,4952,10,12,7.9078,"[ 2 10 10  8  5 11  2 12  7 11 10 11  2  4  8  8  6  3  8  5  7  5  6  2
 11 12  3  3 10  7 10  3  4 11 11  6  3  5  4  1  7  9 10 10  5  2  6  4
  1  1 11  9 12 12  2  7  9 11  5  2  6 11 11  7 12 11  9 10  4  6  3  4
  7  9  1  4  5  2  2  7  1  4  9  2  2  7 10  5 11  5 11  4  6  5  1  2
 10  7  7  8 11 10  9  8  1  8 12  3  6  3  9  8  9  8 11 12 10 10  7  6
 12  6  6 10  3  5 12  9  7 11 10 12  5 12  8  4  8  1]"
test1.txt,42,50,10,1,50,3,1494,3,12,3.7898,"[ 6  4  3 10  5 11  2  1  4  3 11  8  6 12  5  2  6  7 11 11  8  8  6  6
  7 10  7  2  3  4  1 12 10  2 11  1  7  4 10  4  3 11  5 12 10  5  2  2
  6  3  2  3  9 12  4 10  6  9  5  4  1  5  5  2 12 10  1 12  5  2  8 11
  7  9 11 11  4  4  5 10 11 12  8  7  3  7 11  1  2  9 10  5  2  3  9  2
  5 12  8  4  9  1 12  5  4  6  8 12  7  3  5 10  3  4  4  5  5  5  7  7
  5  8 10 10  8 11  4  1  8  2  8  6  4  1 10  3 12  6]"
test1.txt,42,50,15,5,100,7,12,0,12,3.7459,"[ 5  8 11  8  5  7  7  1 11 11  1  8  5  4  8  9  3  6  5 11  8  7  4  7
 12  5  1  7  2  7 12  9  1 11 11  4  3 12  7 11  7  9 12  2  5  5  7  5
  9  9 12  9  9  8 12 10 11  1  5  2  4 12 12  7  7  1  7  1  4 10  9  2
  8 12 11 10  5  2  5  7  9  3  1 12  7  3  7  9  9  5  2  9  3  8  9 12
 12 12  5  7  1  7  9  6  1 12  3  1  7  3  1  8  8 11  1 11  5  5  7  6
  2  7  7  4  8 12  9  5  4  7 12  5  3  6  8 10  6  3]"
